video_id,date,count,CLASS
3,27/01/2018,6,-1
3,01/02/2018,6,-1
3,31/01/2018,6,-1
3,25/01/2018,7,-1
3,03/02/2018,7,-1
76,10/02/2018,8,-1
3,02/02/2018,8,-1
27,28/01/2018,8,-1
76,09/02/2018,8,-1
3,18/01/2018,8,-1
3,30/01/2018,8,-1
27,30/01/2018,8,-1
6,26/01/2018,8,-1
76,07/02/2018,8,-1
47,09/02/2018,9,-1
67,02/02/2018,9,-1
76,06/02/2018,9,-1
6,27/01/2018,9,-1
76,29/01/2018,9,-1
76,08/02/2018,9,-1
6,21/01/2018,9,-1
47,10/02/2018,10,-1
27,20/01/2018,10,-1
67,04/02/2018,10,-1
6,22/01/2018,10,-1
67,30/01/2018,10,-1
27,24/01/2018,10,-1
76,01/02/2018,10,-1
67,03/02/2018,10,-1
64,24/01/2018,10,-1
27,27/01/2018,11,-1
27,29/01/2018,11,-1
76,03/02/2018,11,-1
25,04/02/2018,11,-1
27,18/01/2018,11,-1
67,24/01/2018,11,-1
6,18/01/2018,11,-1
76,30/01/2018,11,-1
3,23/01/2018,11,-1
76,05/02/2018,11,-1
3,20/01/2018,11,-1
64,21/01/2018,11,-1
6,12/01/2018,11,-1
3,29/01/2018,11,-1
6,11/01/2018,11,-1
32,30/12/2017,11,-1
6,24/01/2018,12,-1
47,12/02/2018,12,-1
47,02/02/2018,12,-1
3,22/01/2018,12,-1
47,03/02/2018,12,-1
76,02/02/2018,12,-1
67,25/01/2018,12,-1
76,04/02/2018,12,-1
3,26/01/2018,12,-1
3,15/01/2018,12,-1
25,31/01/2018,12,-1
27,21/01/2018,12,-1
25,28/01/2018,12,-1
3,19/01/2018,12,-1
79,17/01/2018,12,-1
47,08/02/2018,12,-1
27,15/01/2018,12,-1
32,20/12/2017,12,-1
3,28/01/2018,12,-1
67,01/02/2018,12,-1
76,26/01/2018,12,-1
27,17/01/2018,13,-1
30,04/02/2018,13,-1
76,17/01/2018,13,-1
6,05/01/2018,13,-1
67,20/01/2018,13,-1
3,09/01/2018,13,-1
79,20/01/2018,13,-1
67,23/01/2018,13,-1
32,31/12/2017,13,-1
32,05/01/2018,13,-1
76,13/01/2018,13,-1
67,28/01/2018,13,-1
3,24/01/2018,13,-1
32,02/01/2018,13,-1
67,14/01/2018,13,-1
